x y channel num
7 0 2 8
9 0 2 7
10 0 2 6
12 0 2 5
17 0 2 4
18 0 2 3
19 0 2 2
20 0 2 1
21 0 2 0
29 0 2 26
30 0 2 27
40 0 3 3
41 0 3 2
42 0 3 1
43 0 3 0
0 1 2 9
1 1 2 10
2 1 3 11
3 1 2 12
5 1 2 13
6 1 2 14
7 1 2 15
8 1 2 16
9 1 2 17
10 1 2 18
11 1 2 19
12 1 2 20
13 1 2 21
14 1 2 22
18 1 2 23
19 1 2 24
20 1 2 25
23 1 2 32
28 1 2 31
29 1 2 30
30 1 2 29
31 1 2 28
37 1 3 4
38 1 3 5
39 1 3 6
40 1 3 7
41 1 3 8
42 1 3 9
43 1 3 10
44 1 3 11
45 1 3 12
46 1 3 13
47 1 3 14
48 1 3 15
49 1 3 16
50 1 3 17
51 1 3 18
0 2 1 0
1 2 1 1
2 2 1 2
3 2 1 3
4 2 1 4
5 2 1 5
6 2 1 6
7 2 1 7
8 2 1 8
9 2 1 9
10 2 1 10
11 2 1 11
15 2 1 12
18 2 1 13
27 2 2 33
28 2 2 34
29 2 2 35
30 2 2 36
32 2 3 39
33 2 3 38
34 2 3 37
35 2 3 36
36 2 3 35
37 2 3 34
38 2 3 33
39 2 3 32
40 2 3 31
41 2 3 30
42 2 3 29
43 2 3 28
44 2 3 27
45 2 3 26
46 2 3 25
47 2 3 24
48 2 3 23
49 2 3 22
50 2 3 21
51 2 3 20
52 2 3 19
1 3 1 26
2 3 1 25
3 3 1 24
4 3 1 23
5 3 1 22
6 3 1 21
7 3 1 20
8 3 1 19
9 3 1 18
10 3 1 17
11 3 1 16
12 3 1 15
14 3 1 14
24 3 2 38
28 3 2 37
30 3 3 40
31 3 3 41
32 3 3 42
33 3 3 43
34 3 3 44
35 3 3 45
36 3 3 46
37 3 3 47
38 3 3 48
39 3 3 49
40 3 3 50
41 3 3 51
42 3 3 52
43 3 3 53
44 3 3 54
45 3 3 55
46 3 3 56
47 3 3 57
48 3 3 58
49 3 3 59
5 4 1 27
6 4 1 28
7 4 1 29
8 4 1 30
9 4 1 31
10 4 1 32
11 4 1 33
12 4 1 34
13 4 1 35
14 4 1 36
15 4 1 37
16 4 1 38
23 4 2 39
24 4 2 40
27 4 2 41
29 4 2 42
30 4 2 43
31 4 4 63
32 4 4 62
33 4 4 61
34 4 4 60
35 4 4 59
36 4 4 58
37 4 4 57
38 4 4 56
39 4 4 55
40 4 4 54
41 4 4 53
42 4 4 52
43 4 4 51
44 4 4 50
45 4 4 49
46 4 4 48
47 4 4 47
6 5 1 47
7 5 1 46
8 5 1 45
9 5 1 44
10 5 1 43
11 5 1 42
12 5 1 41
13 5 1 40
14 5 1 39
25 5 4 24
26 5 4 25
27 5 4 26
28 5 4 27
29 5 4 28
30 5 4 29
31 5 4 30
32 5 4 31
33 5 4 32
34 5 4 33
35 5 4 34
36 5 4 35
37 5 4 36
38 5 4 37
39 5 4 38
40 5 4 39
41 5 4 40
42 5 4 41
43 5 4 42
44 5 4 43
45 5 4 44
46 5 4 45
47 5 4 46
7 6 1 48
8 6 1 49
9 6 1 50
10 6 1 51
11 6 1 52
12 6 1 53
13 6 1 54
14 6 1 55
24 6 4 23
25 6 4 22
26 6 4 21
27 6 4 20
28 6 4 19
29 6 4 18
30 6 4 17
31 6 4 16
32 6 4 15
33 6 4 14
34 6 4 13
35 6 4 12
36 6 4 11
37 6 4 10
38 6 4 9
39 6 4 8
40 6 4 7
41 6 4 6
42 6 4 5
43 6 4 4
44 6 4 3
45 6 4 2
46 6 4 1
49 6 4 0
7 7 1 62
8 7 1 61
9 7 1 60
10 7 1 59
11 7 1 58
12 7 1 57
13 7 1 56
24 7 5 51
25 7 5 50
27 7 5 49
29 7 5 48
31 7 5 47
32 7 5 46
33 7 5 45
34 7 5 44
35 7 5 43
36 7 5 42
37 7 5 41
38 7 5 40
39 7 5 39
40 7 5 38
41 7 5 37
42 7 5 36
43 7 5 35
44 7 5 34
46 7 5 33
49 7 5 32
8 8 0 59
9 8 0 58
10 8 0 57
11 8 0 56
12 8 0 55
25 8 5 17
32 8 5 18
33 8 5 19
34 8 5 20
35 8 5 21
36 8 5 22
37 8 5 23
38 8 5 24
39 8 5 25
40 8 5 26
41 8 5 27
42 8 5 28
43 8 5 29
44 8 5 30
48 8 5 31
8 9 0 52
9 9 0 53
10 9 0 54
25 9 5 16
26 9 5 15
27 9 5 14
28 9 5 13
29 9 5 12
31 9 5 11
32 9 5 10
33 9 5 9
36 9 5 8
37 9 5 7
38 9 5 6
39 9 5 5
40 9 5 4
41 9 5 3
42 9 5 2
43 9 5 1
44 9 5 0
9 10 0 51
10 10 0 50
24 10 7 63
25 10 7 62
26 10 7 61
27 10 7 60
28 10 7 59
29 10 7 58
30 10 7 57
32 10 7 56
33 10 7 55
34 10 7 54
35 10 7 53
37 10 7 52
38 10 7 51
39 10 7 50
41 10 7 49
42 10 7 48
10 11 0 48
11 11 0 49
23 11 6 53
24 11 6 54
25 11 6 55
26 11 6 56
27 11 6 57
28 11 6 58
29 11 6 59
30 11 6 60
31 11 6 61
33 11 6 62
34 11 6 63
37 11 7 44
38 11 7 45
42 11 7 46
46 11 7 47
12 12 0 47
13 12 0 46
14 12 0 45
15 12 0 44
23 12 6 52
24 12 6 51
25 12 6 50
26 12 6 49
27 12 6 48
28 12 6 47
29 12 6 46
30 12 6 45
31 12 6 44
32 12 6 43
38 12 7 43
13 13 0 40
14 13 0 41
15 13 0 42
16 13 0 43
23 13 6 33
24 13 6 34
25 13 6 35
26 13 6 36
27 13 6 37
28 13 6 38
29 13 6 39
30 13 6 40
31 13 6 41
32 13 6 42
41 13 7 40
42 13 7 41
45 13 7 42
12 14 0 39
13 14 0 38
14 14 0 37
15 14 0 36
16 14 0 35
17 14 0 34
18 14 0 33
25 14 6 32
26 14 6 31
27 14 6 30
28 14 6 29
29 14 6 28
30 14 6 27
31 14 6 26
32 14 6 25
42 14 7 39
43 14 7 38
47 14 7 37
48 14 7 36
13 15 0 26
14 15 0 27
15 15 0 28
16 15 0 29
17 15 0 30
18 15 0 31
19 15 0 32
27 15 6 20
28 15 6 21
29 15 6 22
30 15 6 23
31 15 6 24
43 15 7 30
44 15 7 31
45 15 7 32
46 15 7 33
48 15 7 34
49 15 7 35
13 16 0 25
14 16 0 24
15 16 0 23
16 16 0 22
17 16 0 21
18 16 0 20
27 16 6 19
28 16 6 18
29 16 6 17
30 16 6 16
31 16 6 15
14 17 0 15
15 17 0 16
16 17 0 17
17 17 0 18
18 17 0 19
28 17 6 11
29 17 6 12
30 17 6 13
31 17 6 14
45 17 7 29
46 17 7 28
