,,,,,,,5-9,,5-8,5-7,,5-6,,,,,5-5,5-4,5-3,5-2,5-1,,,,,,,,5-27,5-28,,,,,,,,,,1-4,1-3,1-2,1-1,,,,,,,,,
5-10,5-11,5-12,5-13,,5-14,5-15,5-16,5-17,5-18,5-19,5-20,5-21,5-22,5-23,,,,5-24,5-25,5-26,,,5-33,,,,,5-32,5-31,5-30,5-29,,,,,,1-5,1-6,1-7,1-8,1-9,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-17,1-18,1-19,
4-1,4-2,4-3,4-4,4-5,4-6,4-7,4-8,4-9,4-10,4-11,4-12,,,,4-13,,,4-14,,,,,,,,,5-34,5-35,5-36,5-37,,1-40,1-39,1-38,1-37,1-36,1-35,1-34,1-33,1-32,1-31,1-30,1-29,1-28,1-27,1-26,1-25,1-24,1-23,1-22,1-21,1-20
,4-27,4-26,4-25,4-24,4-23,4-22,4-21,4-20,4-19,4-18,4-17,4-16,,4-15,,,,,,,,,,5-39,,,,5-38,,1-41,1-42,1-43,1-44,1-45,1-46,1-47,1-48,1-49,1-50,1-51,1-52,1-53,1-54,1-55,1-56,1-57,1-58,1-59,1-60,,,
,,,,,4-28,4-29,4-30,4-31,4-32,4-33,4-34,4-35,4-36,4-37,4-38,4-39,,,,,,,5-40,5-41,,,5-42,,5-43,5-44,0-64,0-63,0-62,0-61,0-60,0-59,0-58,0-57,0-56,0-55,0-54,0-53,0-52,0-51,0-50,0-49,0-48,,,,,
,,,,,,4-48,4-47,4-46,4-45,4-44,4-43,4-42,4-41,4-40,,,,,,,,,,,0-25,0-26,0-27,0-28,0-29,0-30,0-31,0-32,0-33,0-34,0-35,0-36,0-37,0-38,0-39,0-40,0-41,0-42,0-43,0-44,0-45,0-46,0-47,,,,,
,,,,,,,4-49,4-50,4-51,4-52,4-53,4-54,4-55,4-56,,,,,,,,,,0-24,0-23,0-22,0-21,0-20,0-19,0-18,0-17,0-16,0-15,0-14,0-13,0-12,0-11,0-10,0-9,0-8,0-7,0-6,0-5,0-4,0-3,0-2,,,0-1,,,
,,,,,,,4-63,4-62,4-61,4-60,4-59,4-58,4-57,,,,,,,,,,,2-52,2-51,,2-50,,2-49,,2-48,2-47,2-46,2-45,2-44,2-43,2-42,2-41,2-40,2-39,2-38,2-37,2-36,2-35,,2-34,,,2-33,,,
,,,,,,,,6-60,6-59,6-58,6-57,6-56,,,,,,,,,,,,,2-18,,,,,,,2-19,2-20,2-21,2-22,2-23,2-24,2-25,2-26,2-27,2-28,2-29,2-30,2-31,,,,2-32,,,,
,,,,,,,,6-53,6-54,6-55,,,,,,,,,,,,,,,2-17,2-16,2-15,2-14,2-13,,2-12,2-11,2-10,,,2-9,2-8,2-7,2-6,2-5,2-4,2-3,2-2,2-1,,,,,,,,
,,,,,,,,,6-52,6-51,,,,,,,,,,,,,,3-64,3-63,3-62,3-61,3-60,3-59,3-58,,3-57,3-56,3-55,3-54,,3-53,3-52,3-51,,3-50,3-49,,,,,,,,,,
,,,,,,,,,,6-49,6-50,,,,,,,,,,,,7-54,7-55,7-56,7-57,7-58,7-59,7-60,7-61,7-62,,7-63,7-64,,,3-45,3-46,,,,3-47,,,,3-48,,,,,,
,,,,,,,,,,,,6-48,6-47,6-46,6-45,,,,,,,,7-53,7-52,7-51,7-50,7-49,7-48,7-47,7-46,7-45,7-44,,,,,,3-44,,,,,,,,,,,,,,
,,,,,,,,,,,,,6-41,6-42,6-43,6-44,,,,,,,7-34,7-35,7-36,7-37,7-38,7-39,7-40,7-41,7-42,7-43,,,,,,,,,3-41,3-42,,,3-43,,,,,,,
,,,,,,,,,,,,6-40,6-39,6-38,6-37,6-36,6-35,6-34,,,,,,,7-33,7-32,7-31,7-30,7-29,7-28,7-27,7-26,,,,,,,,,,3-40,3-39,,,,3-38,3-37,,,,
,,,,,,,,,,,,,6-27,6-28,6-29,6-30,6-31,6-32,6-33,,,,,,,,7-21,7-22,7-23,7-24,7-25,,,,,,,,,,,,3-31,3-32,3-33,3-34,,3-35,3-36,,,
,,,,,,,,,,,,,6-26,6-25,6-24,6-23,6-22,6-21,,,,,,,,,7-20,7-19,7-18,7-17,7-16,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6-16,6-17,6-18,6-19,6-20,,,,,,,,,,7-12,7-13,7-14,7-15,,,,,,,,,,,,,,3-30,3-29,3-28,3-27,,,,
,,,,,,,,,,,,,,6-15,6-14,6-13,6-12,,,,,,,,,,,7-11,7-10,7-9,,,,,,,,,,,,,,3-21,3-22,3-23,3-24,3-25,3-26,,,
,,,,,,,,,,,,,,6-9,6-10,6-11,,,,,,,,,,,,7-6,7-7,7-8,,,,,,,,,,,,,,3-20,3-19,3-18,3-17,3-16,3-15,3-14,,
,,,,,,,,,,,,,6-8,6-7,6-6,,,,,,,,,,,,,7-5,7-4,,,7-3,,,,,,,,,,,,3-7,3-8,3-9,3-10,3-11,3-12,3-13,,
,,,,,,,,,,,,,6-4,6-5,,,,,,,,,,,,,,7-1,7-2,,,,,,,,,,,,,,,,,,,3-6,3-5,,,3-4
,,,,,,,,,,,,,6-3,6-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-2,,,3-3
,,,,,,,,,,,,,,6-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-1,
